127.0.0.1, 2021-05-26 10:33:27, GET, /admin/default/compile_app/movies, HTTP/1.1, 303, 0.579384
127.0.0.1, 2021-05-26 10:33:27, GET, /admin/default/site, HTTP/1.1, 200, 0.028062
127.0.0.1, 2021-05-26 10:33:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:33:38, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.034997
127.0.0.1, 2021-05-26 10:33:45, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2021-05-26 10:33:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2021-05-26 10:33:45, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 10:33:50, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.037776
127.0.0.1, 2021-05-26 10:37:57, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.067989
127.0.0.1, 2021-05-26 10:38:53, POST, /movies/default/call/json/get_recommendation, HTTP/1.1, 500, 0.035996
127.0.0.1, 2021-05-26 10:39:14, POST, /movies/default/call/json/get_recommendation, HTTP/1.1, 500, 0.045985
127.0.0.1, 2021-05-26 10:39:22, POST, /movies/default/call/json/get_recommendation/, HTTP/1.1, 500, 0.031012
127.0.0.1, 2021-05-26 10:44:26, POST, /movies/default/call/json/get_recommendation/, HTTP/1.1, 500, 0.048987
127.0.0.1, 2021-05-26 10:44:28, POST, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.040997
127.0.0.1, 2021-05-26 10:50:15, GET, /, HTTP/1.1, 303, 0.857772
127.0.0.1, 2021-05-26 10:50:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.177994
127.0.0.1, 2021-05-26 10:50:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2021-05-26 10:50:20, GET, /admin/default/index, HTTP/1.1, 303, 0.153998
